Asset,Asset Class,Mode,Frequency,Sharpe,Win Rate %,vs B&H %,Trades/yr,Max Drawdown %,Total Return %,B&H Return %
GS,stock,Academic,Weekly,3.69,63.0,376.04,20,9.18,549.06,173.03
GS,stock,Academic,Monthly,2.20,66.7,-8.14,7,12.00,164.88,173.03
GS,stock,Realistic,Daily,4.96,69.0,651.69,106,4.60,824.71,173.03
GS,stock,Realistic,Weekly,1.97,63.0,-31.82,34,20.46,141.21,173.03
GS,stock,Realistic,Monthly,1.90,66.7,-129.21,9,8.13,43.82,173.03
GS,stock,Signal-Only,Daily,0.00,69.0,-173.03,0,0.00,0.00,173.03
GS,stock,Signal-Only,Weekly,0.00,63.0,-173.03,0,0.00,0.00,173.03
GS,stock,Signal-Only,Monthly,0.00,66.7,-173.03,0,0.00,0.00,173.03
BAC,stock,Academic,Daily,5.70,72.2,771.17,39,3.73,856.50,85.34
BAC,stock,Academic,Weekly,4.33,74.0,363.30,22,5.93,448.64,85.34
BAC,stock,Academic,Monthly,1.48,73.9,-17.27,6,13.05,68.07,85.34
BAC,stock,Realistic,Daily,5.14,72.2,530.73,100,4.37,616.07,85.34
BAC,stock,Realistic,Weekly,2.05,74.0,-4.14,37,10.26,81.19,85.34
BAC,stock,Realistic,Monthly,0.43,73.9,-79.15,8,11.86,6.19,85.34
BAC,stock,Signal-Only,Daily,0.00,72.2,-85.34,0,0.00,0.00,85.34
BAC,stock,Signal-Only,Weekly,0.00,74.0,-85.34,0,0.00,0.00,85.34
BAC,stock,Signal-Only,Monthly,0.00,73.9,-85.34,0,0.00,0.00,85.34
WFC,stock,Academic,Daily,5.74,71.6,1089.89,38,4.04,1186.97,97.07
WFC,stock,Academic,Weekly,4.33,72.2,597.09,19,7.27,694.16,97.07
WFC,stock,Academic,Monthly,1.07,80.8,-43.29,6,23.12,53.78,97.07
WFC,stock,Realistic,Daily,5.15,71.6,723.41,97,3.39,820.49,97.07
WFC,stock,Realistic,Weekly,1.85,72.2,27.84,33,13.17,124.91,97.07
WFC,stock,Realistic,Monthly,0.43,80.8,-88.55,9,18.64,8.52,97.07
WFC,stock,Signal-Only,Daily,0.00,71.6,-97.07,0,0.00,0.00,97.07
WFC,stock,Signal-Only,Weekly,0.00,72.2,-97.07,0,0.00,0.00,97.07
WFC,stock,Signal-Only,Monthly,0.00,80.8,-97.07,0,0.00,0.00,97.07
V,stock,Academic,Daily,5.53,70.8,363.36,43,3.08,392.09,28.74
V,stock,Academic,Weekly,4.21,74.1,220.56,26,4.30,249.30,28.74
V,stock,Academic,Monthly,0.67,81.8,-9.40,7,14.00,19.34,28.74
V,stock,Realistic,Daily,5.17,70.8,262.23,114,3.00,290.96,28.74
V,stock,Realistic,Weekly,1.47,74.1,31.97,37,10.51,60.71,28.74
V,stock,Realistic,Monthly,1.12,81.8,-13.40,8,3.85,15.34,28.74
V,stock,Signal-Only,Daily,0.00,70.8,-28.74,0,0.00,0.00,28.74
V,stock,Signal-Only,Weekly,0.00,74.1,-28.74,0,0.00,0.00,28.74
V,stock,Signal-Only,Monthly,0.00,81.8,-28.74,0,0.00,0.00,28.74
MA,stock,Academic,Daily,5.85,71.9,413.35,47,3.18,441.84,28.48
MA,stock,Academic,Weekly,4.55,76.1,210.46,29,3.41,238.94,28.48
MA,stock,Academic,Monthly,1.28,70.8,9.28,7,12.86,37.77,28.48
MA,stock,Realistic,Daily,5.42,71.9,273.59,123,3.01,302.08,28.48
MA,stock,Realistic,Weekly,1.69,76.1,31.37,43,11.44,59.86,28.48
MA,stock,Realistic,Monthly,0.59,70.8,-22.60,8,6.55,5.88,28.48
MA,stock,Signal-Only,Daily,0.00,71.9,-28.48,0,0.00,0.00,28.48
MA,stock,Signal-Only,Weekly,0.00,76.1,-28.48,0,0.00,0.00,28.48
MA,stock,Signal-Only,Monthly,0.00,70.8,-28.48,0,0.00,0.00,28.48
JNJ,stock,Academic,Daily,6.08,73.2,349.03,39,2.64,405.01,55.98
JNJ,stock,Academic,Weekly,4.26,71.2,171.91,23,7.09,227.89,55.98
JNJ,stock,Academic,Monthly,1.95,75.9,5.85,5,6.63,61.83,55.98
JNJ,stock,Realistic,Daily,4.99,73.2,227.47,106,2.57,283.45,55.98
JNJ,stock,Realistic,Weekly,2.33,71.2,30.41,39,6.85,86.39,55.98
